DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Origin,Associated Types,Magnitude,Magnitude Scale,Start Date,End Date
2020-0583-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Hail|Lightening,,Kph,2020-05-20,2020-05-23
2020-0584-USA,No,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,,,,Kph,2020-05-27,2020-05-27
2020-9585-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,,Heat wave,,Km2,,
2021-0011-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,"Flood|Slide (land, mud, snow, rock)",,Kph,2021-01-13,2021-01-15
2021-0037-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood|Snow/ice,,Kph,2021-01-24,2021-01-27
2021-0043-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,"Flood|Slide (land, mud, snow, rock)",,Kph,2021-01-24,2021-01-29
2021-0059-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2021-01-30,2021-02-02
2021-0096-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,Polar Vortex,Cold wave,,Kph,2021-02-10,2021-02-20
2021-0117-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain and thunderstorm,"Slide (land, mud, snow, rock)",,Km2,2021-02-25,2021-03-01
2021-0150-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains,,,Km2,2021-03-08,2021-03-10
2021-0166-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2021-03-16,2021-03-18
2021-0178-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood,,Kph,2021-03-24,2021-03-26
2021-0193-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains,,,Km2,2021-03-27,2021-03-28
2021-0199-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Hail,,Kph,2021-04-09,2021-04-11
2021-0211-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Transport accident,,Kph,2021-04-13,2021-04-15
2021-0250-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Hail,,Kph,2021-04-15,2021-04-16
2021-0251-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood|Hail,,Kph,2021-04-27,2021-05-02
2021-0266-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood|Hail,,Kph,2021-05-02,2021-05-04
2021-0273-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood,,Kph,2021-05-14,2021-05-19
2021-0305-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Storm 'Claudette',,Flood|Transport accident,,Kph,2021-06-18,2021-06-21
2021-0335-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,Heavy rains,,,Km2,2021-06-07,2021-06-10
2021-0356-CAN,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2021-06-21,2021-06-22
2021-0357-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Telegraph and Mescal Fires,,,,Km2,2021-06-06,2021-07-04
2021-0367-CAN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,,Heat wave,,Km2,2021-06-30,2021-07-02
2021-0369-CAN,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,,Wildfire,49.6,°C,2021-06-26,
2021-0373-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Elsa',,Flood,100.0,Kph,2021-07-02,2021-07-09
2021-0390-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,,,46.8,°C,2021-06-26,2021-06-30
2021-0410-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Bootleg Fire,,,,Km2,2021-07-06,2021-07-31
2021-0433-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Dixie fire,"Heat, drought and winds",,,Km2,2021-07-13,2021-08-11
2021-0442-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains,"Slide (land, mud, snow, rock)",,Km2,2021-07-16,2021-07-21
2021-0487-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood|Hail,,Kph,2021-07-08,2021-07-11
2021-0488-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,Active monsoonal rainfall,Storm,,Km2,2021-07-22,2021-07-28
2021-0526-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Caldor fire,,,,Km2,2021-08-13,2021-08-31
2021-0531-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression 'Henri',,Flood,120.0,Kph,2021-08-20,2021-08-25
2021-0532-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Fred',"Heavy rains, remnants of tropical storm Fred",Flood,,Kph,2021-08-17,2021-08-22
2021-0533-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,Heavy rains,,,Km2,2021-08-21,2021-08-22
2021-0551-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ida',,Flood,240.0,Kph,2021-08-28,2021-09-02
2021-0562-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,,,,Km2,2021-07-30,2021-08-02
2021-0565-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,,,Kph,2021-08-10,2021-08-13
2021-0566-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,,Lightening,,Km2,2021-08-10,2021-08-16
2021-0583-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Nicholas',,Flood,,Kph,2021-09-12,2021-09-17
2021-0626-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Fawn fire,,,,Km2,2021-09-22,2021-09-30
2021-0733-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,,,,Km2,2021-10-04,2021-10-07
2021-0741-CAN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains,"Slide (land, mud, snow, rock)",,Km2,2021-11-13,2021-11-16
2021-0741-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains,,,Km2,2021-11-13,2021-11-15
2021-0784-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains and strong winds,Storm,,Km2,2021-12-03,2021-12-08
2021-0797-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,310.0,Kph,2021-12-10,2021-12-11
2021-0815-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,,160.0,Kph,2021-12-15,2021-12-16
2021-0832-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Middle Fork and the Marshall wildfires,,,,Km2,2021-12-30,2022-01-01
2021-9846-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,,,,Km2,2021-01-01,2021-12-31
2022-0007-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Cold wave,,Kph,2022-01-02,2022-01-03
2022-0080-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2022-02-01,2022-02-05
2022-0126-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,275.0,Kph,2022-03-05,2022-03-07
2022-0132-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Adkins Ave Fire and Bertha Swamp Road Fires; Cottonwood Complex Fires,"Prolonged period of dry conditions, steady winds, and abundant fuels",,,Km2,2022-03-04,2022-03-09
2022-0157-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,,Kph,2022-03-21,2022-03-23
2022-0185-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood|Hail,177.0,Kph,2022-03-29,2022-04-01
2022-0193-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2022-04-04,2022-04-07
2022-0212-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood|Hail,265.0,Kph,2022-04-11,2022-04-14
2022-0215-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,"McBride, Nogal Canyon, Hermits Peak Fires","Ongoing severe drought, strong winds and low relative humidity",,,Km2,2022-04-12,
2022-0227-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Hail,,Kph,2022-04-15,2022-04-18
2022-0244-CAN,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Flood,,Kph,2022-04-21,2022-04-24
2022-0244-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Hail,130.0,Kph,2022-04-21,2022-04-24
