DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Origin,Associated Types,Magnitude,Magnitude Scale,Start Date,End Date
2006-0466-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ernesto,,Flood,119.0,Kph,2006-08-02,2006-09-07
2006-0546-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,Rain,146000.0,Km2,2006-09-22,2006-09-26
2006-0566-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,,51560.0,Km2,2006-10-09,2006-10-14
2006-0576-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,,,,Km2,2006-10-26,2006-10-27
2006-0595-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood,,Kph,2006-11-15,2006-11-16
2006-0598-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,57890.0,Km2,2006-11-05,2006-11-10
2006-0642-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Flood,,Kph,2006-10-12,2006-10-14
2006-0662-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,,,,Km2,2006-12-03,2006-12-06
2006-0704-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ev94,,,"Slide (land, mud, snow, rock)|Tsunami/Tidal wave",6.7,Moment Magnitude,2006-10-15,2006-10-15
2006-0706-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,193.0,Kph,2006-12-25,2006-12-25
2006-0707-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2006-12-21,2006-12-21
2006-0718-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2006-12-27,2006-12-31
2006-0743-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Rain,,Kph,2006-11-30,2006-12-03
2006-0744-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2006-12-14,2006-12-15
2006-0759-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,East Amarillo Complex Fire,,,,Km2,,
2007-0026-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Cold wave|Rain,,Kph,2007-01-12,2007-01-17
2007-0041-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,434.4,Km2,2007-01-15,2007-01-25
2007-0048-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,GLIDE:TO-2007-000024,,,,265.0,Kph,2007-02-02,2007-02-02
2007-0066-CAN,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Cold wave,,Kph,2007-02-14,2007-02-15
2007-0066-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Cold wave,64.0,Kph,2007-02-14,2007-02-15
2007-0083-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2007-03-01,2007-03-02
2007-0156-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood,240.0,Kph,2007-04-24,2007-04-26
2007-0165-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Snowmelt,,205000.0,Km2,2007-06-06,2007-06-11
2007-0173-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,,341.3,Km2,2007-05-24,2007-05-29
2007-0244-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,Rain,507800.0,Km2,2007-06-26,2007-07-06
2007-0251-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,Brief torrential rain,Rain,6500.0,Km2,2007-06-19,2007-06-20
2007-0254-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,,34750.0,Km2,2007-06-17,2007-06-22
2007-0351-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,,Km2,2007-06-24,2007-07-02
2007-0359-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Erin,,Flood,132.0,Kph,2007-08-16,2007-08-19
2007-0383-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,"Rain|Slide (land, mud, snow, rock)",1217000.0,Km2,2007-08-16,2007-08-27
2007-0519-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,,Storm,,Km2,2007-10-21,2007-10-24
2007-0579-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,,Km2,2007-11-24,2007-11-27
2007-0581-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,"Flood|Slide (land, mud, snow, rock)",160.0,Kph,2007-12-03,2007-12-07
2007-0621-CAN,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2007-12-23,2007-12-26
2007-0621-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Transport accident,109.0,Kph,2007-12-23,2007-12-26
2007-0641-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Transport accident,,Kph,2007-12-09,2007-12-11
2007-0662-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood|Hail,,Kph,2007-05-04,2007-05-08
2007-0663-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Flood|Hail,,Kph,2007-04-13,2007-04-17
2007-0689-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Cold wave,,Kph,2007-02-23,2007-02-25
2007-0690-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Hail,128.0,Kph,2007-05-21,2007-05-25
2007-9548-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,Lack of precipitation,,,Km2,,
2008-0010-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,Broken Dam/Burst bank|Rain,550.0,Km2,2008-01-05,2008-01-09
2008-0039-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,GLIDE:TO-2008-000020,,,Flood|Hail,,Kph,2008-02-05,2008-02-06
2008-0099-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:nn00234425,,,,5.9,Moment Magnitude,2008-02-21,2008-02-21
2008-0115-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood|Hail,217.0,Kph,2008-03-14,2008-03-14
2008-0131-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Rain and snowmelt,Broken Dam/Burst bank,565200.0,Km2,2008-03-17,2008-04-20
2008-0170-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Snowmelt,,22900.0,Km2,2008-04-10,2008-04-24
2008-0194-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,GLIDE:TO-2008-000061,,"Cold front meeting warm, moist air",Flood|Hail,280.0,Kph,2008-05-10,2008-05-12
2008-0210-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Broken Dam/Burst bank|Flood,,Kph,2008-05-22,2008-05-26
2008-0253-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,"Lightening, drought, wind",,3500.0,Km2,2008-06-20,2008-07-09
2008-0264-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,,Snow/ice,3180.0,Km2,2008-04-26,2008-05-01
2008-0304-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2008-000111,Hurricane Dolly,,Flood|Transport accident,160.0,Kph,2008-07-23,2008-07-23
2008-0338-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical Storm ""Fay""",,Flood,100.0,Kph,2008-08-20,2008-08-28
2008-0352-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2008-000143,"Hurricane ""Gustav""",,,,Kph,2008-09-01,2008-09-01
2008-0378-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Hanna',,,,Kph,2008-08-28,2008-08-28
2008-0384-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Ike,,Flood,200.0,Kph,2008-09-12,2008-09-16
2008-0524-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,,,,Km2,2008-11-13,2008-11-18
2008-0563-USA,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,,,,°C,2008-12-11,2008-12-14
2008-0599-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2008-01-29,2008-01-30
2008-0600-USA,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,,,,175.0,Kph,2008-01-04,2008-01-09
2008-0601-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2008-04-09,2008-04-11
2008-0627-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,,Broken Dam/Burst bank,,Km2,2008-06-09,2008-06-30
2008-0638-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,35110.0,Km2,2008-12-29,2009-01-16
2008-0645-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,240.0,Kph,2008-04-28,2008-04-28
2008-0654-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2008-12-11,2008-12-22
2009-0056-USA,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,,,,°C,2009-01-26,2009-01-28
2009-0106-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,"Snowmelt, hevay rain",,39740.0,Km2,2009-03-24,2009-04-20
2009-0140-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Fire,,Kph,2009-04-09,2009-04-10
2009-0178-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Record temperatures and strong winds,,,Km2,2009-05-05,2009-05-11
2009-0184-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,"Slide (land, mud, snow, rock)",16460.0,Km2,2009-05-03,2009-05-10
2009-0189-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Ice Jam/break-up,,20490.0,Km2,2009-04-01,2009-04-09
2009-0190-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,,82060.0,Km2,2009-04-06,2009-04-09
2009-0244-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood|Hail,,Kph,2009-04-16,2009-04-18
2009-0287-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Rain,146.0,Kph,2009-02-10,2009-02-13
2009-0342-CAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Bill,,,,Kph,2009-08-23,2009-08-23
2009-0342-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Bill,,Surge,,Kph,2009-08-23,2009-08-23
2009-0349-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,,,,Km2,2009-07-07,2009-10-27
2009-0405-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2009-000203,,Heavy rains,,,Km2,2009-09-20,2009-09-21
2009-0477-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2009-000232,"Hurricane ""Ida""",,Flood,,Kph,2009-11-09,2009-11-10
2009-0599-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2009-12-23,2009-12-25
2009-0601-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood|Hail,128.0,Kph,2009-06-10,2009-06-18
2009-0603-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Hail,,Kph,2009-07-20,2009-07-21
2009-0604-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2009-05-07,2009-05-09
2009-0619-CAN,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,,,Kph,2009-08-01,2009-08-03
2009-0644-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,Hail,,Kph,2009-03-26,2009-03-28
2010-0027-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000h5we,,,,6.5,Moment Magnitude,2010-01-10,2010-01-10
2010-0045-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2010-02-05,2010-02-11
2010-0089-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,151.0,Kph,2010-02-23,2010-02-28
2010-0162-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Hevay rains,,240301.0,Km2,2010-03-27,2010-03-31
2010-0163-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,241.0,Kph,2010-04-24,2010-04-24
2010-0187-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,Heavy rains,Flood,320.0,Kph,2010-04-30,2010-05-03
2010-0196-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,,Kph,2010-05-12,2010-05-16
2010-0225-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,,Km2,2010-06-10,2010-06-11
2010-0468-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Earl,,Rain,,Kph,2010-09-03,2010-09-03
2010-0522-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Hermine,,Flood,,Kph,2010-09-07,2010-09-11
2010-0612-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Flood,,Kph,2010-03-13,2010-03-15
2010-0651-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,355567.0,Km2,2010-12-19,2010-12-19
2010-0655-CAN,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2010-12-26,2010-12-28
2010-0655-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2010-12-26,2010-12-26
2010-0663-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2010-12-31,2011-01-01
2010-0689-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,Flood,,Kph,2010-06-17,2010-06-20
2010-0690-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood|Hail,97.0,Kph,2010-05-10,2010-05-16
2011-0029-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Cold wave,,Kph,2011-01-31,2011-02-02
2011-0131-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,,,,Km2,2011-04-04,2011-05-31
2011-0134-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,260.0,Kph,2011-04-14,2011-04-16
2011-0140-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,,,,Km2,2011-04-09,2011-04-30
2011-0145-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood,,Kph,2011-04-22,2011-04-29
2011-0166-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains and melting snow,,239421.0,Km2,2011-05-01,2011-05-24
2011-0172-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,320.0,Kph,2011-05-20,2011-05-25
2011-0189-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2011-05-24,2011-05-24
2011-0195-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood|Hail,260.0,Kph,2011-05-29,2011-06-01
2011-0264-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,,,50.0,°C,2011-07-19,2011-07-22
2011-0323-CAN,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,300.0,Kph,2011-08-21,2011-08-24
2011-0328-CAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2011-000114,Hurricane Irene,,Flood,130.0,Kph,2011-08-28,2011-08-29
2011-0328-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2011-000114,Hurricane Irene,,Flood,,Kph,2011-08-27,2011-09-13
2011-0349-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,"Drought, high temperatures and strong winds",,,Km2,2011-09-04,2011-09-09
2011-0425-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Torrential rains,,26044.0,Km2,2011-08-06,2011-08-09
2011-0444-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2011-10-29,2011-10-31
2011-0456-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical Storm Lee,,Flood,75.0,Kph,2011-09-04,2011-09-09
2011-0527-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2011-12-20,2011-12-20
2011-0607-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2011-01-07,2011-01-12
2011-0608-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2011-01-17,2011-01-24
2011-0609-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2011-04-03,2011-04-05
2011-0610-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Torrentail rains,Rain,,Km2,2011-04-18,2011-05-23
2011-0611-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2011-08-13,2011-08-14
2011-0630-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,"Dry conditions, strong winds",,,Km2,2011-05-14,2011-05-16
2011-0639-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,Drought conditions and strong winds,,,Km2,2011-05-29,2011-06-23
2011-0646-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy snowmelt and rains,,,Km2,2011-05-15,2011-06-30
2011-9363-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,,,,Km2,,
2012-0010-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,240.0,Kph,2012-01-22,2012-01-23
2012-0055-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,270.0,Kph,2012-02-28,2012-02-29
2012-0060-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood|Hail,112.0,Kph,2012-03-02,2012-03-04
2012-0068-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Snowmelt and heavy rains,,544053.0,Km2,2012-03-25,2012-03-30
2012-0122-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2012-04-02,2012-04-03
2012-0156-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2012-04-14,2012-04-15
2012-0176-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Debby,,,,Kph,2012-06-22,2012-06-27
2012-0177-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Torrential rain,,20116.0,Km2,2012-06-09,2012-06-12
2012-0214-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,,,40.0,°C,2012-06-30,2012-07-19
2012-0232-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Waldo Canyon Fire,,,,Km2,2012-06-23,2012-07-10
2012-0234-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,,,Kph,2012-06-30,2012-06-30
2012-0313-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Isaac,,Flood,,Kph,2012-08-28,2012-08-29
2012-0410-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2012-000180,Hurricane Sandy,,Fire|Flood,,Kph,2012-10-28,2012-10-28
2012-0486-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,100.0,Kph,2012-12-19,2012-12-21
2012-0493-CAN,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2012-12-24,2012-12-27
2012-0493-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2012-12-25,2012-12-27
2012-0503-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,,146.0,Kph,2012-06-28,2012-07-02
2012-0542-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,,,,Km2,2012-08-03,2012-08-08
2012-0601-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,,,Kph,2012-04-28,2012-04-29
2012-0611-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2012-01-18,2012-01-23
2012-0612-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,,,Kph,2012-05-25,2012-05-30
2012-0613-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,,,Kph,2012-06-06,2012-06-07
2012-0614-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,,,Kph,2012-06-11,2012-06-13
2012-0615-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,,,Kph,2012-07-02,2012-07-04
2012-0616-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,,95.0,Kph,2012-09-07,2012-09-09
2012-0626-CAN,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,,,Kph,2012-08-12,2012-08-12
2012-9235-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,,Heat wave,,Km2,,
2012-9489-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,Severe lack of rainand extreme temperature,Heat wave,,Km2,,
2013-0013-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2013-01-29,2013-01-30
2013-0054-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Flood,,Kph,2013-02-08,2013-02-09
2013-0055-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2013-02-09,2013-02-11
2013-0117-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,,,Kph,2013-04-07,2013-04-11
2013-0118-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood,,Kph,2013-04-17,2013-04-19
2013-0142-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,,Kph,2013-05-18,2013-05-22
2013-0183-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,285.0,Kph,2013-05-15,2013-05-17
2013-0184-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2013-05-26,2013-06-06
2013-0190-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,,,307926.0,Km2,2013-06-20,2013-06-27
2013-0209-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,"Hot temperatures, gusty winds, dry forest conditions",,,Km2,2013-05-30,2013-06-08
2013-0210-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,,Km2,2013-06-06,2013-06-20
2013-0211-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,,,Kph,2013-06-12,2013-06-13
2013-0212-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,,Km2,2013-06-28,2013-07-12
2013-0254-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Slow moving storm system,,,Km2,2013-07-27,2013-07-28
2013-0277-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Torrential rains,,123143.44,Km2,2013-08-05,2013-08-12
2013-0286-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,33907.85,Km2,2013-05-25,2013-05-28
2013-0291-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,493136.77,Km2,2013-04-22,2013-04-29
2013-0315-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,,,,Km2,2013-08-03,2013-09-01
2013-0334-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,Flood|Hail,,Kph,2013-08-02,2013-08-03
2013-0354-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,,"Slide (land, mud, snow, rock)",100404.0,Km2,2013-09-12,2013-09-19
2013-0404-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,,,,Km2,2013-09-09,2013-09-15
2013-0439-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,305.0,Kph,2013-11-16,2013-11-18
2013-0472-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Flood,,Kph,2013-11-24,2013-11-24
2013-0510-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Torrentiak rain,,38936.0,Km2,2013-10-31,2013-11-10
2013-0528-CAN,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,,,,°C,2013-12-21,2013-12-22
2013-0528-USA,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,,,,°C,2013-12-19,2013-12-22
2013-0548-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,,,Kph,2013-03-18,2013-03-19
2013-0550-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,Cleon and Dion,,,,Kph,2013-12-01,2013-12-09
