ImpactID,LocationID,Classification_Key,ISO,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected
cc3df082ef5206af44c004ff8a9e339b,704c7ab940171c820a7da95efc2a55a2,nat-hyd-flo-riv,USA,,,105.0,,105.0
4b88cc98ae82518230f91d85be2f1c7f,611839669c874d3c42ab279196f2e377,nat-hyd-flo-riv,USA,1.0,,,,
59ea825a1194707a70e7407face6172f,89f9a0a70c4a4f88e7a6f946431960b1,nat-met-sto-hai,USA,9.0,14.0,,,14.0
0eabc29261e5fdf2049682d9efbd41e3,5521f47a7e0c99ca24c918ee30c98ec1,nat-met-ext-col,USA,3.0,,,,
691d1cd24ee466ba125b3edd587fc4f8,8b83291806e7b6d05e706c39ff41f206,nat-hyd-flo-riv,USA,28.0,8.0,500.0,,508.0
dcb0a6fc21c0ab1f162e751e291f72f5,09211ccf51a2a1beed0e87f420d96839,nat-met-sto-bli,USA,20.0,,,,
fc0edaaa7b18ad7adb2dd085267248f5,6e2f022a3648c38d6702f718d57e481d,nat-hyd-flo-riv,USA,9.0,,150.0,,150.0
0236c7553030484c52b27000aae2c375,0ee059bb2ef925aa8d44095ffe11c897,nat-hyd-flo-riv,USA,2.0,,11000.0,,11000.0
8e5af6e9db32f012fabf521daf49b037,fc3f84450bdece7e465003f357665681,nat-met-sto-lig,USA,,8.0,45.0,51.0,104.0
15a0e5299c44a440c32638c9a167fcbc,63267807c3c76d8004aea1696a53ea35,nat-hyd-flo-fla,USA,,,,,
0a7364897d5af528b503a365740bb993,1f45482df19c9faab2a9100d4b549b39,nat-met-sto-tro,USA,5.0,,,,
2207abd0e2b40a03295078dbea23ff22,6461b0edb618d205706664c9d18e48b8,nat-met-sto-tro,USA,1833.0,,500000.0,,500000.0
d0a737b9937595465c039bd4080dd166,c916bf3359acd301f94a8aa2bb47ac93,nat-met-sto-tor,USA,,,120.0,81.0,201.0
cbf4f30da5a1eef0e050fe616994286f,b040fef7fbbdce8f051d6e52ec474192,nat-met-sto-tro,USA,10.0,,300000.0,,300000.0
be76161b49e7156b523e8a2f5e4f0c54,e37e7bb45ec25beceec5698bf76a012b,nat-met-sto-sto,CAN,,,300.0,,300.0
53bd9a657e7aae52b45949e38bc7bc59,82d4e10b6a0d28668d70271f4316a10f,nat-hyd-flo-riv,USA,11.0,,3000.0,,3000.0
119ffe85f59c1a771908b8266be6a62b,d46a4b0183a12c7d6f349beb066a5c66,nat-met-sto-tro,USA,4.0,,30000.0,,30000.0
c39f93ba75266783cbb35beb189abab6,3af865903825e0202a3d8dc22700f4f2,nat-hyd-flo-riv,CAN,,,600.0,,600.0
1f2ebcb787151e13498dad6b873d3990,efe63079da3a1c2de89e298a4f6d48c5,nat-met-sto-bli,USA,10.0,,,,
67aa275921206de697c40dee5dfe042f,acad1824d5001e388997e5ed6145ff43,nat-met-ext-hea,USA,33.0,31.0,,,31.0
b71e5ceaa74478a42697b046ed419f63,2a9524874555d4c4439add6fe6dc2aaa,nat-hyd-flo-riv,USA,3.0,,3600.0,,3600.0
f1d1fd838d7d51c5e7c22cb31a134ec8,21a11199fb0b908a3b228c1f8c1f6d95,nat-cli-wil-for,USA,5.0,,,1410.0,1410.0
