ImpactID,DisNo,Classification_Key,LocationID,ISO,Start_Year,Total_Damage(USD),Total_Damage_Adj(USD)
c7a249e72c01bcb58190a1d74dfa9323,2004-0121-USA,nat-met-sto-tor,462b56788ee916d4482596fec30159d2,USA,2004,300000.0,483952.0
bad8357958ef95a3e92c4736fa46a5e1,2004-0146-CAN,nat-hyd-flo-riv,3282eeb43c9b7a5b639d7e3cde928dbc,CAN,2004,,
53d136a92dc7930fcf07c0122bbe5bd8,2004-0146-USA,nat-hyd-flo-riv,f3d47fa0d4b007c956fa5e7dde2f5eaf,USA,2004,4500.0,7259.0
fb4ab09c191d836029ba14e1a974a996,2004-0196-USA,nat-cli-wil-for,46e95c8a928c33b87a5c10d57eb909b9,USA,2004,,
53e8f9a69406fc49018e057189c2c0ac,2004-0245-USA,nat-met-sto-hai,ad59814de937c8dc5b4d5a1f71157857,USA,2004,1100000.0,1774492.0
2128d6d8b596c59cb279e4146a045504,2004-0248-USA,nat-hyd-flo-riv,0ee73c0f5c8b1d73955802fda95f3c56,USA,2004,,
7262561d132bd40f5487bff673aef7af,2004-0249-USA,nat-met-sto-lig,40b351b66b49a3cf70ebec1230bd9805,USA,2004,700000.0,1129222.0
8eb02a5b2d1c1e0af7be18169514a99c,2004-0338-USA,nat-met-sto-lig,a9a0f7de834dc6bbb96baaf659973099,USA,2004,170.0,274.0
f83339bba39a51472409921bbde2c131,2004-0346-CAN,nat-hyd-flo-fla,be8e5b623dced5150518491d05ede467,CAN,2004,200000.0,322635.0
b4a5a49f4fa1c93ca88e854aca027499,2004-0348-USA,nat-cli-wil-for,d0fc23a7dec2490f6c03a681ee9ced6d,USA,2004,,
7778c1f576a51eca021084e8ab7a89b4,2004-0415-USA,nat-met-sto-tro,7a06dcd31f813e1485cd3fb65f3aa463,USA,2004,16000000.0,25810787.0
af60fc622348345d51439f429d999096,2004-0446-USA,nat-cli-wil-for,ad1cc8f74fdfa5c1a2c7032ec76df0d4,USA,2004,,
a470d847828f436a339b2937c083564d,2004-0448-USA,nat-met-sto-tro,ca9441096a24d4ac0fd8412b80561856,USA,2004,62500.0,100823.0
2764ce718cb40a21b0437b221b09cdaf,2004-0455-USA,nat-met-sto-tro,575c675cf489d3c8a9febc223c62ce08,USA,2004,11000000.0,17744916.0
5e4bfc3f61be88ef19251d27e0d76180,2004-0462-USA,nat-met-sto-tro,687d2017555d5d616383196e6e79ed91,USA,2004,18000000.0,29037135.0
