ImpactID,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total_Damage_000_USD,"Total Damage, Adjusted ('000 US$)",CPI
d0ffe9a7f18f2bf397c43ac188c2fd2f,,,,15.0,15.0,25000.0,37787.0,66.16033056179792
7b0e6309b5e93b341fd8dcdbdd8b8cbd,,10.0,3519.0,,3529.0,150000.0,226722.0,66.16033056179792
7383989cd00f6d1ec18eba543780dbb6,,,600.0,,600.0,90000.0,136033.0,66.16033056179792
101d4055d0c3e7e2bd1f06d82491d528,,,,,,,,66.16033056179792
debe41e41773eddf6930dd4bf8f9d044,,,,,,360000.0,544133.0,66.16033056179792
bd5acbff8b1de38fb56b7d822c912ca2,11.0,,,,,,,66.16033056179792
1f5d98a436d7e728f29af630d2405a63,10.0,,,,,,,66.16033056179792
8e2da789f3589996911e15cad385f7eb,12.0,,,300.0,300.0,150000.0,226722.0,66.16033056179792
df00352ea983842e8f14c91076c073ef,65.0,220.0,,,220.0,500000.0,734779.0,68.0476738315874
91ccbd26b813ee84d08b1a5d0d045c96,24.0,,,,,,,68.0476738315874
4008a2bb1ce0f7d0e3378f6051c96a63,20.0,,6600.0,,6600.0,130000.0,191043.0,68.0476738315874
6cac820861044e1c32a6aeb23001f47e,2.0,,,,,,,68.0476738315874
fb263dcc7ef3ef46317c5f4fb770df6e,16.0,,,,,140000.0,205738.0,68.0476738315874
5d85facf84feb89e3e2aba6bf611a44a,20.0,20.0,,,20.0,600000.0,881735.0,68.0476738315874
5b5e54b26d239e94b53e53f649d087ce,10.0,80.0,,200.0,280.0,,,68.0476738315874
cee29cf0a7f09416a058ebdeed8ac89d,,,500.0,,500.0,,,68.0476738315874
b0d8cb204a10af50f66a00ed43807085,8.0,,100.0,,100.0,,,68.0476738315874
b3074efb5023267f6952e5aecec4b8c6,8.0,,5000.0,,5000.0,,,68.0476738315874
010d7b76b69ebcfedd3d7bd845872f73,4.0,,120.0,,120.0,,,68.0476738315874
96781c9aa0fa886c7911fdfb065e1655,10.0,,750.0,,750.0,28000.0,41148.0,68.0476738315874
e3623bca0e7d39b33714f75d40e41259,,,,768.0,768.0,,,68.0476738315874
a356f2ea4762a926a7262dbff645f1b5,7.0,,,,,,,68.0476738315874
def7ab912fefada57dba7faaf63724db,26.0,40.0,2800.0,,2840.0,700000.0,1028691.0,68.0476738315874
59d0559f78d93043b54ac9d0a9cfa75f,8.0,64.0,640000.0,,640064.0,2500000.0,3673895.0,68.0476738315874
37b4afb760fcfb1f53b9f854ca39b199,,,10000.0,159.0,10159.0,315000.0,462911.0,68.0476738315874
f7e8dec458bf334683ea4b1eb494e455,17.0,28.0,1100.0,,1128.0,1000000.0,1469558.0,68.0476738315874
eebacf367e99ca236c60bd405893f6c7,4.0,,,,,,,68.0476738315874
121195ddc4443ea46ab03ba01c381d68,22.0,,,,,,,68.0476738315874
d54c9611f4e90c34bd73d16667c02379,24.0,2.0,,,2.0,500000.0,734779.0,68.0476738315874
5dbc95d81649d22180112622de7231ab,12.0,40.0,,,40.0,350000.0,514345.0,68.0476738315874
ab5e04758c920f0c5d3375d47f9787a0,23.0,,,,,2000000.0,2939116.0,68.0476738315874
513dc1ee3f1746d920e7d4f0fe4a1388,4.0,27.0,,,27.0,300000.0,440867.0,68.0476738315874
3a0fa6bee4872a9f25931031c77f7363,5.0,,,,,300000.0,440867.0,68.0476738315874
2a98ef885c35065ef134dcb99b402221,,,,,,300000.0,440867.0,68.0476738315874
54c82978bf99035807bad015e6686afb,2.0,,1500.0,,1500.0,,,70.66008903450533
5a6b032099bec89c31d33db0daa39c82,59.0,150.0,,,150.0,1300000.0,1839794.0,70.66008903450533
02be3974bfd22336888c6c0523338e0e,,3.0,2100.0,,2103.0,,,70.66008903450533
717b65aa303291e2e6c2389a15276114,2.0,27.0,150.0,,177.0,450000.0,636852.0,70.66008903450533
7da9b938aa0cdffb77e889404987aa6f,18.0,,1000.0,,1000.0,2000.0,2830.0,70.66008903450533
9aae745829c148025fd5726a212c120e,,,400.0,,400.0,,,70.66008903450533
c78cfa8db331d1b63a89a61cfd9090d0,22.0,150.0,,,150.0,700000.0,990658.0,70.66008903450533
c234e4082fcc2c7f07d8a8692d123520,7.0,70.0,,,70.0,1600000.0,2264362.0,70.66008903450533
96b130cfff5bb3b68befd255a99240d4,1.0,,,300.0,300.0,102000.0,144353.0,70.66008903450533
1958f16b862391ef4685244d77aca7f9,,,2000.0,,2000.0,,,70.66008903450533
de098fa2fc158fc21bbe61cc1ffcd1ce,,,,,,1200000.0,1698271.0,70.66008903450533
5338a235135878436375a757caec7cef,12.0,,400.0,,400.0,180000.0,254741.0,70.66008903450533
1cd57e48149b40940dadc2f1009c9e07,43.0,,2100000.0,,2100000.0,7000000.0,9906582.0,70.66008903450533
de376fdcd4a2ec4c1eced63fb3307264,7.0,,,,,160000.0,226436.0,70.66008903450533
9b79637463663f5136488f42d60b429d,82.0,,200000.0,,200000.0,30000000.0,42456782.0,70.66008903450533
962410770d00a1eacaecdf1a7fdc4075,,20.0,55000.0,,55020.0,2000000.0,2830452.0,70.66008903450533
149e617fa030e127144ce40f4c2493a5,,,,,,,,70.66008903450533
9f104e2e852cfbc4e887402ca3951ec5,4.0,,,,,600000.0,849136.0,70.66008903450533
0f8bba7ba05915c3416a2145c3d633fd,12.0,,,,,1000000.0,1415226.0,70.66008903450533
a841b8432160d3c6d7c12a3a43a4acb0,3.0,,,,,1100000.0,1556749.0,70.66008903450533
