DisNo,ImpactID,Historic,Classification_Key,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Event_Name,OFDA_BHA_Response,Appeal,Declaration,Origin,Associated_Types,Magnitude,Magnitude_Scale,Start_Date,End_Date,duration
2015-0401-USA,c592e3669c174e02ffb7e5daa510233b,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),Valley Fire,No,No,No,"High temperature, Ligthning",Pollution,,Km2,2015-08-13,2015-08-31,18
2015-0421-USA,291538bc335d2f522603e8a6d9c2a056,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,No,No,Yes,"High tempertaures, gusty winds, dry soil, vast swathes of dried vegetation and brush",,,Km2,2015-09-13,2015-09-20,7
2015-0431-USA,2e9de337d05556b13e2f76eddd5f3228,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,No,Torrentila rains,,,Km2,2015-09-14,2015-09-14,0
2015-0459-USA,4d2b5da126a94a0e640736e65c2e2423,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Joaquin,No,No,No,,Flood,,Kph,2015-10-01,2015-10-13,12
2015-0488-USA,9ba25b07fef19c89333d0a6617342d20,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Flood|Hail,,Kph,2015-10-29,2015-11-03,5
2015-0531-USA,df3630cb5ab8488bce13bce2ecb439b4,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,Heavy rain,Flood,,Kph,2015-11-25,2015-12-04,9
2015-0558-USA,0230c7c34fff82f6bddeeacc0f229f89,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,Yes,,Flood,,Kph,2015-12-26,2015-12-30,4
2015-0565-USA,b144a0dabd0a26e65509a0c992552b3e,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,No,Heavy rains,Storm,,Km2,2015-12-15,2016-01-06,22
2015-0613-USA,356ae48cdc6033c05b85ac981ae46611,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",Butte fire,No,No,No,,,,Km2,2015-09-09,2015-09-14,5
2016-0010-USA,25fd72534368b3ba7457f54364ed5908,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,Storm Jonas (Snowzilla),No,No,Yes,,Snow/ice,,Kph,2016-01-23,2016-01-26,3
