ImpactID,LocationID,Classification_Key,DisNo,ISO,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected
53e8f9a69406fc49018e057189c2c0ac,ad59814de937c8dc5b4d5a1f71157857,nat-met-sto-hai,2004-0245-USA,USA,5.0,37.0,6000.0,408.0,6445.0
7262561d132bd40f5487bff673aef7af,40b351b66b49a3cf70ebec1230bd9805,nat-met-sto-lig,2004-0249-USA,USA,10.0,0.0,1000.0,0.0,1000.0
8eb02a5b2d1c1e0af7be18169514a99c,a9a0f7de834dc6bbb96baaf659973099,nat-met-sto-lig,2004-0338-USA,USA,4.0,6.0,307.0,0.0,313.0
7778c1f576a51eca021084e8ab7a89b4,7a06dcd31f813e1485cd3fb65f3aa463,nat-met-sto-tro,2004-0415-USA,USA,10.0,0.0,30000.0,0.0,30000.0
2764ce718cb40a21b0437b221b09cdaf,575c675cf489d3c8a9febc223c62ce08,nat-met-sto-tro,2004-0455-USA,USA,47.0,0.0,5000000.0,0.0,5000000.0
cfb3095aabecd8576f30fb845fc3222f,6dab3f46a54553c8c1ba065f296ca031,nat-met-sto-tro,2004-0473-USA,USA,6.0,0.0,40000.0,0.0,40000.0
59ea825a1194707a70e7407face6172f,89f9a0a70c4a4f88e7a6f946431960b1,nat-met-sto-hai,2004-0731-USA,USA,9.0,14.0,0.0,0.0,14.0
691d1cd24ee466ba125b3edd587fc4f8,8b83291806e7b6d05e706c39ff41f206,nat-hyd-flo-riv,2005-0015-USA,USA,28.0,8.0,500.0,0.0,508.0
fc0edaaa7b18ad7adb2dd085267248f5,6e2f022a3648c38d6702f718d57e481d,nat-hyd-flo-riv,2005-0103-USA,USA,9.0,0.0,150.0,0.0,150.0
0236c7553030484c52b27000aae2c375,0ee059bb2ef925aa8d44095ffe11c897,nat-hyd-flo-riv,2005-0203-USA,USA,2.0,0.0,11000.0,0.0,11000.0
2207abd0e2b40a03295078dbea23ff22,6461b0edb618d205706664c9d18e48b8,nat-met-sto-tro,2005-0467-USA,USA,1833.0,0.0,500000.0,0.0,500000.0
cbf4f30da5a1eef0e050fe616994286f,b040fef7fbbdce8f051d6e52ec474192,nat-met-sto-tro,2005-0547-USA,USA,10.0,0.0,300000.0,0.0,300000.0
53bd9a657e7aae52b45949e38bc7bc59,82d4e10b6a0d28668d70271f4316a10f,nat-hyd-flo-riv,2005-0583-USA,USA,11.0,0.0,3000.0,0.0,3000.0
119ffe85f59c1a771908b8266be6a62b,d46a4b0183a12c7d6f349beb066a5c66,nat-met-sto-tro,2005-0585-USA,USA,4.0,0.0,30000.0,0.0,30000.0
67aa275921206de697c40dee5dfe042f,acad1824d5001e388997e5ed6145ff43,nat-met-ext-hea,2005-0687-USA,USA,33.0,31.0,0.0,0.0,31.0
b71e5ceaa74478a42697b046ed419f63,2a9524874555d4c4439add6fe6dc2aaa,nat-hyd-flo-riv,2005-0716-USA,USA,3.0,0.0,3600.0,0.0,3600.0
f1d1fd838d7d51c5e7c22cb31a134ec8,21a11199fb0b908a3b228c1f8c1f6d95,nat-cli-wil-for,2005-0724-USA,USA,5.0,0.0,0.0,1410.0,1410.0
59796251f79c37c8c70f44a373527b6c,76448680b8eea9f33e4e851e4e791714,nat-hyd-flo-riv,2005-0728-CAN,CAN,4.0,0.0,5000.0,0.0,5000.0
